iter	Passed	Remaining
985	230139	236675
986	230404	236473
987	230620	236222
988	230892	236028
989	231396	236071
990	231648	235856
991	231899	235639
992	232325	235600
993	232688	235498
994	232934	235275
995	233386	235261
996	233892	235300
997	234208	235147
998	234496	234966
999	234732	234732
1000	234860	234391
1001	235281	234342
1002	235576	234167
1003	235934	234054
1004	236342	233990
1005	236595	233773
1006	236762	233471
1007	236976	233215
1008	237187	232956
1009	237362	232662
1010	237550	232381
1011	237816	232176
1012	238177	232064
1013	238499	231914
1014	238646	231593
1015	238909	231384
1016	239131	231136
1017	239595	231122
1018	239818	230875
1019	240193	230773
1020	240526	230632
1021	240738	230374
1022	240933	230099
1023	241327	230015
1024	241645	229858
1025	242118	229847
1026	242391	229646
1027	242708	229486
1028	243025	229327
1029	243386	229209
1030	243770	229110
1031	244042	228907
1032	244261	228654
1033	244484	228406
1034	244749	228196
1035	244905	227884
1036	245084	227595
1037	245449	227478
1038	245885	227426
1039	246125	227193
1040	246311	226909
1041	246629	226747
1042	246896	226538
1043	247189	226353
1044	247508	226191
1045	247764	225972
1046	247925	225666
1047	248171	225438
1048	248431	225222
1049	248912	225206
1050	249446	225237
1051	249801	225106
1052	250211	225024
1053	250651	224968
1054	251118	224935
1055	251604	224919
1056	251856	224692
1057	252038	224405
1058	252225	224120
1059	252416	223840
1060	252643	223593
1061	252880	223354
1062	253117	223114
1063	253372	222891
1064	253619	222661
1065	253842	222409
1066	254130	222215
1067	254371	221980
1068	254608	221740
1069	254817	221476
1070	255043	221227
1071	255277	220986
1072	255553	220781
1073	255774	220527
1074	256009	220286
1075	256214	220021
1076	256451	219781
1077	256689	219543
1078	256882	219266
1079	257065	218981
1080	257357	218790
1081	257559	218520
1082	257754	218246
1083	257999	218014
1084	258219	217761
1085	258485	217546
1086	258737	217320
1087	258967	217075
1088	259210	216841
1089	259368	216537
1090	259610	216302
1091	259879	216090
1092	260139	215870
1093	260349	215609
1094	260595	215377
1095	260843	215147
1096	261098	214924
1097	261328	214679
1098	261488	214378
1099	261798	214198
1100	262033	213957
1101	262273	213721
1102	262497	213472
1103	262723	213224
1104	263019	213033
1105	263285	212818
1106	263571	212619
1107	263816	212386
1108	264082	212170
1109	264285	211904
1110	264563	211698
1111	264808	211466
1112	265088	211260
1113	265334	211028
1114	265624	210831
1115	266000	210703
1116	266151	210395
1117	266344	210121
1118	266560	209865
1119	266786	209617
1120	266936	209310
1121	267144	209048
1122	267361	208794
1123	267572	208535
1124	267754	208253
1125	267912	207953
1126	268064	207648
1127	268248	207369
1128	268381	207050
1129	268584	206786
1130	268735	206482
1131	268901	206189
1132	269075	205903
1133	269243	205612
1134	269327	205258
1135	269414	204906
1136	269556	204597
1137	269637	204242
1138	269838	203977
1139	270010	203692
1140	270161	203390
1141	270444	203188
1142	270623	202908
1143	270779	202611
1144	270858	202256
1145	271084	202012
1146	271240	201716
1147	271390	201414
1148	271523	201102
1149	271617	200760
1150	271713	200421
1151	271900	200149
1152	272085	199875
1153	272253	199589
1154	272416	199300
1155	272637	199054
1156	272782	198751
1157	272929	198451
1158	273105	198172
1159	273267	197883
1160	273377	197557
1161	273485	197229
1162	273609	196914
1163	273714	196585
1164	273843	196274
1165	273955	195951
1166	274128	195672
1167	274332	195414
1168	274491	195126
1169	274635	194826
1170	274790	194535
1171	275056	194323
1172	275262	194068
1173	275457	193805
1174	275590	193499
1175	275764	193223
1176	275927	192938
1177	276096	192658
1178	276297	192400
1179	276474	192126
1180	276681	191873
1181	276789	191551
1182	276919	191245
1183	277075	190957
1184	277230	190668
1185	277387	190382
1186	277625	190151
1187	277775	189860
1188	277907	189556
1189	278060	189268
1190	278190	188963
1191	278383	188703
1192	278523	188406
1193	278613	188075
1194	278835	187834
1195	279034	187578
1196	279170	187279
1197	279359	187017
1198	279532	186743
1199	279704	186469
1200	279858	186183
1201	280031	185910
1202	280138	185594
1203	280278	185300
1204	280391	184988
1205	280466	184652
